iter	RMSE
0	1.093474037
1	1.038970899
2	0.9878639276
3	0.9425628959
4	0.9028828912
5	0.870042874
6	0.839661862
7	0.8120240138
8	0.7870120816
9	0.7635430923
10	0.7456809544
11	0.7266432407
12	0.7115478251
13	0.6979403973
14	0.6832357199
15	0.6700296305
16	0.6595097124
17	0.6489086665
18	0.6397065894
19	0.6327285288
20	0.6260097681
21	0.6199961496
22	0.614463405
23	0.6098622122
24	0.6040571931
25	0.6004476885
26	0.5969297413
27	0.5930683956
28	0.58765936
29	0.5821038887
30	0.5791762344
31	0.576614137
32	0.5744128954
33	0.5724394272
34	0.5708422579
35	0.5686526126
36	0.5657672218
37	0.5644391538
38	0.5611277281
39	0.5591041832
40	0.5549432774
41	0.552139166
42	0.549889044
43	0.547566991
44	0.5453229241
45	0.5434951482
46	0.5418057339
47	0.5407721657
48	0.5392903649
49	0.537726444
50	0.5362877894
51	0.5353587207
52	0.5328823233
53	0.5313208907
54	0.5296798453
55	0.5282489132
56	0.5272898351
57	0.5265377913
58	0.52537392
59	0.5241890917
60	0.5231380124
61	0.522331914
62	0.5212011717
63	0.5193272584
64	0.5183721437
65	0.5175133844
66	0.5170213506
67	0.5158928887
68	0.514845379
69	0.5141189783
70	0.5130425587
71	0.5123643299
72	0.5114397007
73	0.5104515979
74	0.5091686661
75	0.508100245
76	0.5068601318
77	0.505989442
78	0.5052162752
79	0.5039607466
80	0.503512619
81	0.5025660238
82	0.5017273134
83	0.5008377828
84	0.5001258085
85	0.4995620078
86	0.4981692718
87	0.4974778269
88	0.4968437095
89	0.4960926764
90	0.4953405238
91	0.4949186678
92	0.4936315476
93	0.4924675053
94	0.4917026847
95	0.4909226984
96	0.490117894
97	0.4891876925
98	0.4884141035
99	0.4874635609
100	0.486739473
101	0.4859223766
102	0.4849604875
103	0.4843994357
104	0.4838128394
105	0.4833323277
106	0.4826226107
107	0.482030349
108	0.4812567241
109	0.4806074099
110	0.4798528922
111	0.4791720513
112	0.4785803805
113	0.4777691709
114	0.4769276449
115	0.4759705653
116	0.4753659652
117	0.4747404536
118	0.4742301404
119	0.47329676
120	0.4728206679
121	0.471853336
122	0.4710577771
123	0.4705003121
124	0.4692646202
125	0.468817306
126	0.4683188527
127	0.4677409006
128	0.4672147504
129	0.4665793971
130	0.4660066951
131	0.4654698528
132	0.4651068926
133	0.4646392952
134	0.4640494686
135	0.4633991059
136	0.4627422145
137	0.4621966628
138	0.4617581414
139	0.4610684068
140	0.4605327385
141	0.460185161
142	0.4593299917
143	0.4583009604
144	0.4576917175
145	0.4571932284
146	0.4566031009
147	0.456153694
148	0.4552055372
149	0.4545793653
150	0.4538685313
151	0.4533017286
152	0.4527005985
153	0.4520069483
154	0.4515294681
155	0.4512190096
156	0.4505677408
157	0.4502173911
158	0.449621197
159	0.4492500209
160	0.4487472681
161	0.4483472408
162	0.4478441636
163	0.4474218185
164	0.4470598481
165	0.4462850923
166	0.4457170387
167	0.4452197436
168	0.44497227
169	0.4445223256
170	0.4440190303
171	0.4437681446
172	0.4433822132
173	0.4429332274
174	0.4425133746
175	0.4417110561
176	0.4412282053
177	0.4407710225
178	0.4403705342
179	0.4399605681
180	0.4394973843
181	0.4392002404
182	0.4387448398
183	0.4384312369
184	0.43803072
185	0.4376874623
186	0.4373546279
187	0.4368699569
188	0.4364998635
189	0.4361344855
190	0.4355578744
191	0.4351543033
192	0.4349147766
193	0.4345701466
194	0.4342701348
195	0.4338618637
196	0.4335044663
197	0.4332365288
198	0.4328162561
199	0.4323189785
200	0.432014874
201	0.4316026259
202	0.431363281
203	0.4306494666
204	0.4303153065
205	0.4298597256
206	0.4295355955
207	0.4292792326
208	0.4289345843
209	0.4285355976
210	0.4277898014
211	0.4274001112
212	0.4270291892
213	0.4267824755
214	0.4264254702
215	0.4261272381
216	0.4259009872
217	0.4255972175
218	0.4251446646
219	0.424828136
220	0.4245024679
221	0.4243701729
222	0.4237895038
223	0.4233986921
224	0.423142678
225	0.4227011953
226	0.4223181768
227	0.4218788275
228	0.4216088425
229	0.4213180567
230	0.4210025996
